,domain,bundle,demand_side_revenue,auctions,week,weekCount
467,belezadodia.com,,0.0,3,12,1
468,livekijken.nl,,0.0,2,12,1
469,baseball-roadtrip.com,,0.0,1,12,1
470,ohsobeautifulpaper.com,,0.0,1,12,1
471,zzap.ru,,0.0,2,12,1
472,danielwellington.com,,0.0,1,12,1
473,safeonline.ng,,0.0,2,12,1
474,y-thai.net,,0.0,2,12,1
475,eri-hzm.com,,0.0,1,12,1
476,dpstream.be,,0.0,1,12,1
477,tennistv.com,,0.0,9,12,1
478,ijustlovepets.com,,0.0,1,12,1
479,tahlequahdailypress.com,,0.0,1,12,1
480,bookreports.info,,0.0,2,12,1
481,rodadalei.com.br,,0.0,1,12,1
482,citynews.com,,0.0,1,12,1
483,anothermag.com,,0.0,1,12,1
484,guchill.co,,0.0,7,12,1
485,laxflugor.b.se,,0.0,1,12,1
486,bonjourparis.com,,0.0,2,12,1
487,weconnect.com,,0.0,1,12,1
488,658293394,,0.0,1,12,1
489,mustangevolution.com,,0.0,1,12,1
490,npfe.ru,,0.0,2,12,1
491,yoins.com,,0.0,2,12,1
492,blackpub.net,,0.0,1,12,1
493,muitaviagem.com.br,,0.0,5,12,1
494,www.sportsmyanmar.com,,0.0,1,12,1
495,feed-the-beast.com,,0.0,1,12,1
496,likarski-roslini.net.ua,,0.0,3,12,1
497,riwodating.com,,0.0,1,12,1
498,prolactina.org,,0.0,1,12,1
499,contratanet.com.br,,0.0,1,12,1
500,awayfromthebox.com,,0.0,3,12,1
501,iderzheng.com,,0.0,1,12,1
502,ikea-vsem.ru,,0.0,3,12,1
503,designsbysessa.com,,0.0,1,12,1
504,naturalherpesremedy.com,,0.0,1,12,1
505,elhealthbeauty.com,,0.0,3,12,1
506,puertoricodaytrips.com,,0.0,13,12,1
507,expedia.com.au,,0.0,2,12,1
508,miarroba.es,,0.0,9,12,1
509,goldnscrap.com,,0.0,4,12,1
510,fivespotgreenliving.com,,0.0,1,12,1
511,theweatheroutlook.com,,0.0,5,12,1
512,air-cosmos.com,,0.0,5,12,1
513,spidervpn.net,,0.0,1,12,1
514,profilpedia.com,,0.0,1,12,1
515,canon.com,,0.0,7,12,1
516,garow.me,,0.0,28,12,1
517,ipaustralia.com.au,,0.0,1,12,1
518,ampparit.com,,0.0,5,12,1
519,sirimuvvalu.com,,0.0,2,12,1
520,amgoa.org,,0.0,2,12,1
521,sjs.co.nz,,0.0,5,12,1
522,thebay.com,,0.0,3,12,1
523,thekitchengarten.com,,0.0,1,12,1
524,springhillnursery.com,,0.0,1,12,1
525,monosoku.com,,0.0,2,12,1
526,atlantacutlery.com,,0.0,1,12,1
527,bike198.com,,0.0,4,12,1
528,inkpixi.com,,0.0,1,12,1
529,yourchristmascountdown.com,,0.0,1,12,1
530,theestateofthings.com,,0.0,25,12,1
531,amazonaws.com,,0.0,58,12,1
532,glassdoor.com.au,,0.0,97,12,1
533,translationlookup.com,,0.0,3,12,1
534,twncrc.blogspot.tw,,0.0,1,12,1
535,wormminer.com,,0.0,8,12,1
536,prematernityinfo.com,,0.0,2,12,1
537,c-and-a.com,,0.0,2,12,1
538,iloveclassicrock.com,,0.0,1,12,1
539,risinglovers.com,,0.0,2,12,1
540,kannewyork.com,,0.0,4,12,1
541,roamans.com,,0.0,4,12,1
542,fox29.com,,0.0,1,12,1
543,crossfitjackson.com,,0.0,2,12,1
544,zul-yasmi.com,,0.0,1,12,1
545,guiamaschicos.blogspot.com.ar,,0.0,1,12,1
546,medusapedia.com,,0.0,33,12,1
547,flyerz.hu,,0.0,4,12,1
548,bom.gov.au,,0.0,1,12,1
549,aboutmaggievalley.com,,0.0,1,12,1
550,shiksha.com,,0.0,6,12,1
551,thespectrum.com,,0.0,3,12,1
552,highbb.com,,0.0,3,12,1
553,fuck-cs.pp.ua,,0.0,1,12,1
554,gehasoku.com,,0.0,1,12,1
555,fethiyehaber.net,,0.0,1,12,1
556,smulpaj.se,,0.0,1,12,1
557,harenerweekblad.nl,,0.0,1,12,1
558,tebateba.com,,0.0,1,12,1
559,thewisenest.com,,0.0,2,12,1
560,blogdangkal.com,,0.0,1,12,1
